provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
distrito nacional,alumbrado publico,0,0,0,0,0,0,0,1,0,0,0,0,2017
distrito nacional,falta de energia,1652,1722,1887,1631,2013,1991,1937,2291,2153,2761,2362,2130,2017
distrito nacional,niveles de tension,227,227,261,222,316,272,291,327,291,515,382,358,2017
distrito nacional,otros,1,0,0,0,0,0,1,0,2,0,0,0,2017
distrito nacional,probable defecto o falla,13,6,6,11,6,11,20,14,59,9,14,7,2017
distrito nacional,riesgo de vida,205,232,265,281,237,270,277,331,407,373,292,245,2017
el seibo,falta de energia,407,350,425,325,393,398,404,403,396,499,363,311,2017
el seibo,niveles de tension,36,30,20,26,32,55,42,48,44,79,39,32,2017
el seibo,otros,0,0,0,0,0,0,0,1,1,0,0,0,2017
el seibo,probable defecto o falla,5,0,2,0,1,2,3,4,11,3,2,2,2017
el seibo,riesgo de vida,57,37,58,47,36,52,59,59,113,57,48,41,2017
hato mayor,falta de energia,313,274,336,320,401,447,458,481,468,415,309,368,2017
hato mayor,niveles de tension,32,24,35,28,50,25,43,42,44,40,45,26,2017
hato mayor,otros,0,0,2,0,0,0,0,0,0,0,0,0,2017
hato mayor,probable defecto o falla,3,1,4,1,2,5,2,5,6,2,2,2,2017
hato mayor,riesgo de vida,50,43,54,53,48,69,68,62,131,58,44,61,2017
la altagracia,falta de energia,784,677,1042,772,1000,1042,1071,1062,1073,1034,892,692,2017
la altagracia,niveles de tension,98,95,126,130,139,147,159,193,114,174,125,118,2017
la altagracia,otros,0,0,0,0,1,0,0,0,0,0,1,1,2017
la altagracia,probable defecto o falla,5,3,1,5,3,7,2,1,14,1,2,0,2017
la altagracia,riesgo de vida,145,119,153,177,147,182,214,227,335,214,183,133,2017
la romana,alumbrado publico,0,0,0,0,0,0,0,0,1,0,0,0,2017
la romana,falta de energia,786,737,985,694,901,742,952,1116,938,1039,852,777,2017
la romana,niveles de tension,90,89,139,120,152,123,172,223,172,193,134,122,2017
la romana,otros,0,0,0,0,1,0,0,0,1,1,0,0,2017
la romana,probable defecto o falla,2,2,5,2,1,3,3,2,8,2,2,0,2017
la romana,riesgo de vida,131,112,163,110,146,154,175,193,236,192,155,124,2017
monte plata,falta de energia,458,376,370,424,511,505,547,467,416,485,434,360,2017
monte plata,níveles de tension,40,32,38,52,39,41,56,33,41,45,28,22,2017
monte plata,otros,0,0,0,0,2,0,0,0,1,0,0,0,2017
monte plata,probable defecto o falla,7,8,4,11,12,4,5,5,11,8,5,2,2017
monte plata,riesgo de vida,104,88,90,137,148,118,126,145,136,119,102,96,2017
san pedro de macoris,alumbrado publico,0,0,0,0,0,0,0,0,1,0,0,0,2017
san pedro de macoris,falta de energia,745,662,687,666,726,743,783,829,896,815,782,643,2017
san pedro de macoris,niveles de tension,62,64,88,52,91,93,90,116,88,91,92,79,2017
san pedro de macoris,otros,0,0,0,0,1,0,0,0,1,1,1,1,2017
san pedro de macoris,probable defecto o falla,3,2,5,3,4,7,6,10,16,4,2,4,2017
san pedro de macoris,riesgo de vida,149,109,154,138,149,156,125,170,236,152,175,122,2017
santo domingo,alumbrado publico,0,0,0,0,0,0,0,0,0,0,0,0,2017
santo domingo,falta de energia,6113,6233,6936,6577,7799,7271,7954,8249,8291,10495,9706,8266,2017
santo domingo,niveles de tension,746,834,1082,997,1171,1186,1340,1426,1381,1963,1733,1435,2017
santo domingo,otros,,3,0,2,1,1,0,0,1,2,2,1,2017
